"ID","タイトル","ステータス","作成日","開始日","期限日","優先度","詳細","完了日"
"123456789012345","通常タスク","未着手","2024-10-01","2024-10-02","2024-10-15","中","通常のタスク","未設定"
"234567890123456","完了タスク","完了","2024-09-01","2024-09-05","2024-09-20","高","すでに完了したタスク","2024-09-20"
"345678901234567","進行中タスク","進行中","2024-10-01","2024-10-05","2024-10-10","低","現在進行中のタスク","未設定"
"456789012345678","未来タスク","未着手","2024-11-01","2024-11-10","2024-12-01","高","未来の日付のタスク","未設定"
"567890123456789","文字数限界タスクタイトル超え","未着手","2024-10-01","未設定","未設定","中","タイトルが長い","未設定"
"678901234567890","空タイトル","","2024-10-01","2024-10-02","2024-10-03","低","タイトルが空のタスク","未設定"
"789012345678901","日付不正タスク","未着手","不正日付","不正日付","不正日付","高","日付に不正データ","未設定"
"890123456789012","過去日付タスク","完了","2023-05-01","2023-05-02","2023-05-15","中","期限切れタスク","2023-05-15"
"901234567890123","詳細空","未着手","2024-10-01","2024-10-02","2024-10-10","低","","未設定"
"012345678901234","タスク完了日あり","完了","2024-08-01","2024-08-02","2024-08-10","中","完了したタスク","2024-08-10"
