"ID","タイトル","ステータス","作成日","開始日","期限日","優先度","詳細","完了日"
"000000000000001","期限切れ高優先度","未着手","2024-09-01","2024-09-01","2024-09-10","高","期限が切れた重要タスク","未設定"
"000000000000002","当日低優先度","進行中","2024-10-01","2024-10-05","2024-10-25","低","今日が期限のタスク","未設定"
"000000000000003","未来の中優先度","未着手","2024-11-01","2024-11-05","2024-12-15","中","期限が未来のタスク","未設定"
"000000000000004","完了済みタスク","完了","2024-08-01","2024-08-05","2024-08-15","低","完了済みの低優先度タスク","2024-08-16"
"000000000000005","長めの詳細ありタスク","未着手","2024-10-01","2024-10-02","2024-11-01","中","このタスクには詳細が記載されており、ツールチップで確認できます","未設定"
"000000000000006","短い期限タスク","進行中","2024-10-20","2024-10-21","2024-10-22","高","短期間で対応が必要","未設定"
"000000000000007","タイトルなし","未着手","2024-10-01","未設定","未設定","中","","未設定"
"000000000000008","完了日なしの完了タスク","完了","2024-09-15","2024-09-20","2024-10-01","低","完了日が設定されていない","未設定"
"000000000000009","ドラッグ&ドロップ確認用","進行中","2024-09-01","2024-09-05","2024-10-10","高","このタスクは移動可能","未設定"
"000000000000010","カスタム詳細テスト","未着手","2024-10-05","2024-10-10","2024-11-10","中","詳細確認用のカスタム情報です","未設定"
